Game_Id,Category,Category_Id,Country_0,Country_1,Country_2,Misc,Num_Runs,Players_0,Players_1,Players_2,Record_Date_0,Record_Date_1,Record_Date_2,Subcategory,Subcategory_Id,Time_0,Time_1,Time_2
476,Season 1,2,United Kingdom,France,Thailand,False,14,moodehh,Gros_Shtok,zRune,2022-03-23T02:09:18Z,2022-01-28T03:09:12Z,2022-04-03T11:25:42Z,"SA/SO,Pro,Standard",0,252.0,269.0,303.0
5,193 UN Member States,9,Poland,Switzerland,Germany,False,4,Imperator_Maximus,Marco_1896,Blixxi,2021-08-13T21:15:53Z,2021-03-28T20:21:02Z,2021-03-25T17:08:47Z,"Multiple Choice,Website",30,263.0,290.0,311.0
916,DragonKing,0,Brazil,,,False,1,FelipeNascimento83,,,2021-12-31T04:43:58Z,,,FFXIII,12,28.7,,
551,Gloomy Manor,3,United States,United States,United States,True,25,blarz,Vicious,Banananana,2021-10-16T23:04:25Z,2020-08-25T04:45:35Z,2019-08-10T05:55:21Z,,0,1503.0,1515.0,1539.0
425,PC (Windows 7),2,France,Germany,,False,2,kaivel,Ahramanyu,,2018-09-22T17:53:33Z,2018-02-18T22:09:30Z,,Any% NoJunctions,9,50029.0,61144.0,
339,Any% No-OoB,1,Brazil,United States,United States,False,5,Meduka,EarthQuack,CriscoWild,2018-08-10T13:13:40Z,2018-08-06T15:52:02Z,2019-05-23T07:59:19Z,"Nightmare,Casual",3,1565.0,1634.0,1708.0
570,Patch 1 CAR,6,Palau,,,True,1,ypno_ny,,,2021-02-02T06:45:38Z,,,"Hildr,Easy,Manual",76,1324.46,,
605,X8 Any% NG+,7,China,,,True,1,suruiyingmu0,,,2021-03-02T10:55:01Z,,,,0,3219.0,,
887,Complete The Game,2,United States,,,False,1,RubberDuckyAssassin,,,2020-11-25T22:15:12Z,,,"Console,100%,No Passwords",7,30019.0,,
403,WooHoo!,9,Australia,Canada,United States,False,11,Simon_543,OmgZephyr,yourface44,2021-08-11T05:19:14Z,2021-03-01T17:14:40Z,2021-08-13T10:26:18Z,Without expansions,0,33.96,37.097,38.5
468,All Arenas,11,United States,Canada,Québec,True,3,Flamming,Fencer_Main,Bismarck,2019-05-17T19:58:15Z,2021-06-19T13:40:07Z,2019-04-23T08:15:28Z,,0,3346.0,4267.0,4419.0
989,FPS,4,United States,,,False,1,Otterstone_Gamer,,,2021-07-05T23:55:37Z,,,"All,Below 10,Scatter,Website",82,334.567,,
37,Banana Cup,9,United States,United States,United States,True,56,batcake,batcake,batcake,2020-03-28T02:42:16Z,2020-04-16T00:03:29Z,2020-04-16T00:05:08Z,No Skips,0,470.454,472.994,474.305
437,PC Co-op 1.2 (Archive),7,"United States,United States","Canada,United States",,True,2,"LevitheKiller43,Brendanplays121","satokxn,MetalBlade03",,2022-02-03T05:13:50Z,2022-01-24T09:48:19Z,,"Recruit,2P,Act 4",34,96.0,172.0,
556,Slendytubbies 2D,4,United States,United States,,False,2,jonfromtheinternet,overcon_plus,,2021-09-05T17:55:16Z,2021-08-29T12:24:20Z,,"Fastest Death,Mountains",52,69.667,172.833,
173,Single World,2,Norway,Norway,Indonesia,False,4,Phaze_0,Phaze_0,Pufffy,2022-03-28T21:01:41Z,2020-12-22T17:34:17Z,2021-02-27T04:37:49Z,"Normal Mode,1 Player,Vampireless,World 3",38,68.083,75.57,92.034
40,Firebase Z,1,"Canada,Canada","Finland,Finland","Netherlands,Netherlands",False,3,"valley172,Mhyke","Makew,Pedu","sander8,Yaboy_Joris",2021-10-02T17:22:43Z,2021-10-02T17:15:34Z,2021-09-27T20:18:34Z,"2P Co-Op,Round 15,Rampage",27,480.0,509.0,515.0
699,Planned The Final Strike,9,"Unknown,Unknown,United States,United States","Unknown,Unknown,Unknown,Unknown",,True,2,"Sciencent,MasterGrandWhis,skippi99r,Mr_Weab29","PhantomHawk,Unknown,Unknown,Unknown",,2020-04-08T10:44:41Z,2020-05-06T16:32:29Z,,Legend,41,2527.0,3250.0,
189,All Blueprints,4,United Kingdom,United States,United States,True,5,KrookA,clove,Rubiks37,2021-05-30T01:39:57Z,2021-04-20T21:41:54Z,2020-08-12T03:17:06Z,"Survival,Glitched",0,3124.0,3230.0,3516.0
402,1000 Jumps,2,United States,Spain,Canada,False,9,GreenYoshi88,Germaneitor007,pilotwings65,2021-06-16T14:50:05Z,2021-01-17T21:26:10Z,2021-12-28T08:51:44Z,"1.2.0,1P",0,251.3,310.625,318.65
989,FPS,4,Russia,,,False,1,daff,,,2022-03-10T02:59:19Z,,,"Small,Below 10,Pen,Touch Web",33,25.067,,
196,Medium,2,Australia,,,False,1,svucozixean,,,2022-01-04T19:10:41Z,,,Bunnz,55,44.83,,
73,50 Kills,6,Eswatini,Brazil,New Zealand,False,3,PEEPEEPOOPOO26,Zewzy,Boomicle,2019-04-22T09:34:28Z,2019-01-12T18:53:49Z,2018-12-12T10:46:36Z,Season 9,63,593.0,738.0,893.0
949,Level 99,4,Argentina,United States,Canada,True,3,Juanba,Symphonian46,Firecrow,2021-04-24T16:54:16Z,2020-01-18T20:23:32Z,2020-01-18T22:06:10Z,PC,4,379.32,420.0,512.97
