Game_Id,Abbreviation,Genres,Name,Platforms,Release_Date,Total_Runs
597,smbbm,3D Platformer,Super Monkey Ball: Banana Mania,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",21-07-21,236
113,ctr,Racing,Crash Team Racing,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV, PSN Download",99-09-30,611
474,ac,Misc,Animal Crossing,"GameCube, Wii",18-05-03,192
859,fallout,RPG,Fallout,PC,20-12-05,138
660,rdr2,Action-Adventure,Red Dead Redemption 2,"PlayStation 4, Xbox One, PC, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",18-04-20,130
727,mksc,Racing,Mario Kart: Super Circuit,"Game Boy Advance, Nintendo DS, Nintendo 3DS Virtual Console, Wii U Virtual Console, Game Boy Player, Game Boy Interface",07-06-17,182
278,aoh2,Strategy,Age of History 2,"PC, Android, iOS, Macintosh, Linux",17-05-10,582
964,iconoclasts,Puzzle,Iconoclasts,"PlayStation Vita, PlayStation 4, Xbox One, PC, Switch",04-12-20,86
415,devour,Horror,DEVOUR,PC,10-01-01,224
976,ducktales_remastered,2D Platformer,DuckTales: Remastered,"Wii U, PlayStation 3, Xbox 360, Xbox One, PC, Android, iOS",93-09-10,107
376,iwzombies,First-person shooter,Call of Duty: Infinite Warfare Zombies,"PlayStation 4, Xbox One, PC",14-08-08,436
570,bpm_bullets_per_minute,Rhythm,BPM: Bullets Per Minute,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",14-07-21,284
773,panel_de_pon,Puzzle,Panel de Pon,"Super Nintendo, Wii Virtual Console, Nintendo 3DS Virtual Console, Wii U Virtual Console, New Nintendo 3DS Virtual Console, Switch, Satellaview, SNES Classic Mini",16-01-16,125
5,seterra,Misc,Seterra,"PC, Android, iOS, Web",97-01-01,7763
866,bhop_jump,Parkour,Bhop Jump,"PC, Android, iOS",16-08-30,177
139,tp,Action-Adventure,The Legend of Zelda: Twilight Princess,"GameCube, Wii, Nvidia Shield",06-11-19,543
239,scv4,Action ,Super Castlevania IV,"Super Nintendo, Wii Virtual Console, SNES Classic Mini",92-12-20,204
173,soul_knight,Roguelike,Soul Knight,"Android, iOS, Switch",19-09-20,733
287,plague_inc,Strategy,Plague Inc.,"Android, iOS",03-10-14,501
413,fnafworld,RPG,FNaF World,"PC, Android",91-10-04,180
356,nplusplus,2D Platformer,N++,"PlayStation 4, Xbox One, PC, Switch",13-03-25,346
720,ib,RPG,Ib,PC,87-01-01,141
666,poe,Action,Path of Exile,PC,89-10-03,179
196,bhop_go,Parkour,Bhop GO,"Android, iOS",95-08-05,723
392,rabiribi,2D Platformer,Rabi-Ribi,"PlayStation Vita, PlayStation 4, PC, Switch",01-10-26,179
705,oneshot,RPG,OneShot,PC,02-01-01,111
53,dead_by_daylight,Horror,Dead by Daylight,"PlayStation 4, Xbox One, PC, Android, iOS, Switch, Google Stadia, PlayStation 5, Xbox Series X",16-06-14,1708
26,whitetiles4,Rhythm,White Tiles 4: Piano Master 2,"Android, iOS",14-10-03,3755
182,fusion,Action-Adventure,Metroid Fusion,"Game Boy Advance, Nintendo 3DS, Wii U Virtual Console",04-11-21,500
83,supermonkeyball2,Puzzle,Super Monkey Ball 2,"GameCube, Wii",02-08-25,901
503,sm2018,Action,Marvel's Spider-Man,"PlayStation 4, PlayStation 4 Pro, PlayStation 5",17-11-16,192
540,aac,Action,Assault Android Cactus,"PlayStation 4, Xbox One, PC, Switch",14-01-01,154
402,jrc,Misc,Jump Rope Challenge,Switch,16-04-12,384
426,the_forest,Horror,The Forest,"PlayStation 4, PC",99-01-01,295
533,ssf2,Brawler,Super Smash Flash 2,PC,21-06-21,228
274,scpsl,Horror,SCP Secret Laboratory,PC,14-10-07,399
22,mcc,Sandbox,Minecraft (Classic),"PC, Web",09-05-17,3164
678,rain_world,Action-Adventure,Rain World,"PlayStation 4, PC, Switch",17-12-01,144
19,piggy,Puzzle,ROBLOX: Piggy,"Xbox, PC, Android, iOS, Macintosh, HTC Vive, Oculus VR",20-01-23,4081
887,pkmnrumble,Brawler,Pokémon Rumble,"Wii U, Wii",14-09-20,113
789,legends_of_runeterra,Strategy,Legends of Runeterra,"PC, Android, iOS",02-01-01,241
605,mmxlc,2D Platformer,Mega Man X Legacy Collection,"PlayStation 4, Xbox One, PC, Switch",94-01-01,184
48,bo3zombies,First-person shooter,Call of Duty: Black Ops III Zombies,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC",15-11-06,2469
171,roblox_the_mimic,Horror,ROBLOX: The Mimic,"Xbox, PC, Android, iOS, Macintosh",08-09-22,149
88,craftrise,Sandbox,CraftRise,PC,15-09-17,301
101,snake_game,Misc,Google Snake Game,Web,17-09-27,1124
93,khfm,RPG,Kingdom Hearts Final Mix,"PlayStation 2, PlayStation 3, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",02-12-26,734
990,rimworld,Strategy,RimWorld,"PC, Macintosh, Linux",08-02-22,126
809,sf2ce,Brawler,Street Fighter II' - Champion Edition,"Super Nintendo, Sega Genesis, Arcade, PlayStation 2, PlayStation, PlayStation 3, Xbox 360, Sega Master System, PlayStation 4, Xbox One, PC, TurboGrafx-16/PC Engine, Switch, Xbox Series X, MiSTer",12-01-01,210
